SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531867,UNITECH INTE,X ,Q,6.24,6.55,6.00,6.01,6.10,6.24,27,12345,74313.00,
531869,SACHETA MET.,X ,Q,47.00,51.50,47.00,50.00,50.95,49.30,95,57239,2854752.00,
531879,PIONEER DIS.,B ,Q,281.00,307.05,281.00,299.00,299.00,292.45,867,34175,10252745.00,
531881,GMETCOAL    ,X ,Q,27.65,29.85,27.65,29.75,29.75,28.45,13,5715,169939.00,
531882,KWALITYLTD  ,A ,Q,49.15,49.75,47.00,47.55,47.55,49.05,1375,341686,16528812.00,
531888,REXNORD ELE.,X ,Q,58.40,58.40,56.00,56.00,56.00,58.40,4,600,33940.00,
531893,SAWACA BUSI ,X ,Q,0.97,0.97,0.97,0.97,0.97,0.98,4,11505,11159.00,
531898,SANGUINE MD ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,2,110,53.00,
531900,CCL INTER   ,X ,Q,16.30,16.32,16.30,16.32,16.32,16.00,4,1550,25277.00,
531909,SWAGRUHA    ,XT,Q,5.50,5.78,5.50,5.78,5.78,5.51,2,80,448.00,
531917,TWINSTAR SOF,X ,Q,1.76,1.98,1.75,1.98,1.98,1.94,5,3755,6592.00,
531921,AGAR IND COR,T ,Q,281.90,281.90,281.90,281.90,281.90,288.70,1,5,1409.00,
531923,DHAMPURE SGR,X ,Q,12.80,13.30,12.61,13.30,13.30,13.10,4,1501,19137.00,
531925,SHANTANU SHE,XT,Q,2.12,2.12,2.12,2.12,2.12,2.02,41,2068161,4384501.00,
531934,SUPREME TEX ,T ,Q,1.00,1.00,0.99,0.99,0.99,1.00,2,527,523.00,
531950,VERTEX SEC. ,X ,Q,2.22,2.45,2.22,2.40,2.40,2.45,17,25837,62203.00,
531952,RIBA TEXTILS,X ,Q,89.05,89.05,85.60,86.80,87.50,86.80,36,16065,1412543.00,
531977,CHARTERLOGIS,X ,Q,15.25,15.75,15.00,15.05,15.05,15.20,143,35015,533966.00,
531978,AMBIKA COTTO,B ,Q,1374.70,1376.00,1374.70,1375.25,1375.00,1384.65,4,41,56384.00,
531979,HIND ALUMIN ,X ,Q,116.00,116.00,106.10,109.95,109.40,111.25,70,1794,195502.00,
531996,ODYSSEY CORP,X ,Q,1.70,1.70,1.70,1.70,1.70,1.63,1,301,511.00,
532001,INDUCTO STL.,XT,Q,26.45,26.45,26.45,26.45,26.45,27.80,1,10,264.00,
532005,SAM INDUS.  ,X ,Q,18.05,19.80,18.05,19.80,19.80,18.95,13,1202,21699.00,
532015,GRAVITY (I) ,X ,Q,4.04,4.04,4.04,4.04,4.04,4.25,2,370,1494.00,
532016,WELLESLEY   ,XT,Q,7.80,7.80,7.80,7.80,7.80,8.17,1,100,780.00,
532021,SENBO IND.  ,XT,Q,6.15,6.15,6.15,6.15,6.15,6.15,1,1,6.00,
532022,FILAT FASH  ,X ,Q,2.50,2.60,2.50,2.60,2.60,2.99,8,5008,12950.00,
532029,SINDHU TRADE,XT,Q,55.15,55.15,55.15,55.15,55.15,52.55,1,1,55.00,
532035,UNISTAR MULT,X ,Q,2.74,2.74,2.74,2.74,2.74,2.70,4,18904,51796.00,
532039,ZENOTECH    ,X ,Q,39.20,40.30,39.00,39.00,39.00,40.00,21,6066,239731.00,
532051,SWELECT     ,B ,Q,370.00,379.75,366.10,366.10,366.10,370.00,58,2326,863982.00,
532053,WALLFORT FIN,X ,Q,110.00,110.00,107.70,108.15,108.15,108.90,23,1849,200285.00,
532054,KDDL LTD    ,B ,Q,540.00,554.00,530.00,542.20,539.10,550.00,69,928,501703.00,
532056,ADINATH EXIM,XT,Q,20.00,20.00,19.05,19.95,19.95,20.00,8,306,6101.00,
532067,KILPEST (I) ,X ,Q,169.60,169.60,155.55,156.50,165.00,161.55,50,2471,402710.00,
532070,SUPERB PAPER,X ,Q,30.40,30.40,30.15,30.15,30.15,30.00,16,3100,93806.00,
532072,INTER DIGI  ,X ,Q,0.15,0.15,0.15,0.15,0.15,0.15,1,1000,150.00,
532081,KSERASERA   ,T ,Q,0.21,0.22,0.21,0.22,0.22,0.22,32,419313,90073.00,
532090,VANDANA     ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,2502,475.00,
532097,MUKAND ENGG.,B ,Q,36.80,36.80,35.65,36.05,36.45,36.15,64,26674,968513.00,
532121,DENA BANK   ,A ,Q,18.30,18.30,16.15,17.45,17.35,18.45,1206,493325,8449605.00,
532123,BSE  INFRA  ,B ,Q,3.45,3.98,3.45,3.68,3.65,3.73,53,41766,157029.00,
532124,RELIAB VEN  ,X ,Q,12.75,12.75,12.75,12.75,12.75,13.35,2,599,7637.00,
532129,HEXAWARE TEC,A ,Q,442.50,442.50,420.55,429.05,429.05,442.05,1815,103220,44190041.00,XD
532134,BANKBARODA  ,A ,Q,141.00,144.60,141.00,142.75,142.75,142.50,1621,342515,48902695.00,
