SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1248.10,1262.50,1218.35,1247.15,1247.15,1249.60,1024,11510,14244955.00,
500003,AEGIS LOGIS ,A ,Q,278.55,279.80,268.65,271.50,271.10,278.55,317,7966,2189085.00,
500008,AMAR RAJA BA,A ,Q,866.00,875.65,860.75,865.25,862.65,865.30,562,16409,14271716.00,
500009,A.SARABHAI  ,XT,Q,13.87,14.00,13.20,13.23,13.22,13.79,41,14711,198086.00,
500010,HDFC        ,A ,Q,1922.00,1935.85,1920.05,1929.90,1931.00,1921.20,1026,480898,928049780.00,
500012,ANDHRA PETRO,X ,Q,58.55,59.45,57.40,57.60,57.60,58.95,136,25242,1466260.00,
500013,ANSAL INFRAS,B ,Q,22.55,22.55,20.45,20.65,20.65,21.70,71,19806,415682.00,
500014,APPLE FINANC,XT,Q,2.16,2.26,2.06,2.08,2.08,2.16,22,3743,7973.00,
500016,ARUNA HOTEL ,XT,Q,28.75,28.75,28.75,28.75,28.75,28.75,4,351,10091.00,
500020,BOM DYEING  ,A ,Q,300.90,303.80,284.85,289.05,289.05,298.75,6253,638978,187234867.00,
500023,ASIANHOTNR  ,B ,Q,302.10,302.10,300.05,300.05,300.05,315.80,6,63,18930.00,
500024,ASSAMCO     ,B ,Q,4.08,4.08,3.92,3.95,3.98,4.10,82,127795,508769.00,
500027,ATUL LTD.   ,A ,Q,2855.65,2881.95,2814.75,2843.25,2849.60,2844.00,72,424,1211231.00,
500028,ATV PROJECTS,XT,Q,9.00,9.51,9.00,9.02,9.02,9.07,21,3032,28343.00,
500029,AUTOLITE(I) ,B ,Q,67.70,68.50,67.10,67.85,68.50,69.25,9,1188,80538.00,
500031,BAJAJ ELECT.,A ,Q,627.05,647.75,612.15,618.05,618.05,625.70,2549,47095,29596358.00,
500032,BAJAJHIND   ,A ,Q,8.25,8.25,7.00,7.28,7.30,8.00,1159,931517,6914281.00,
500033,FORCE MOTR  ,B ,Q,2811.00,2885.00,2809.00,2814.50,2814.50,2807.25,1959,20928,59560792.00,
500034,BAJFINANCE  ,A ,Q,1860.00,1881.00,1844.30,1860.80,1854.60,1858.50,590,13703,25491180.00,
500038,BALRAM.CHINI,A ,Q,66.15,66.65,64.05,64.95,64.95,66.15,1967,650115,42276666.00,
500039,BANCO PROD. ,B ,Q,233.90,233.90,216.50,221.75,221.70,222.90,335,17247,3858035.00,
500040,CENTURY TEXT,A ,Q,1098.25,1103.20,1076.50,1079.15,1080.00,1106.75,742,25848,28059658.00,
500042,BASF INDIA  ,B ,Q,2000.00,2009.90,1930.00,1947.90,1945.65,1976.80,191,1110,2185082.00,
500043,BATA INDIA  ,A ,Q,790.80,794.00,774.45,780.05,774.45,788.00,688,18934,14829291.00,
500048,BEML LTD    ,A ,Q,1083.00,1086.00,1042.20,1054.15,1054.15,1083.75,1229,29494,31366372.00,
500049,BHARAT ELECT,A ,Q,129.00,129.00,124.40,125.55,125.55,127.95,3113,257731,32395918.00,
500052,BHANSALI ENG,B ,Q,169.70,170.90,162.10,164.25,164.25,168.60,1332,129795,21374578.00,
500055,BHUSH STEEL ,B ,Q,23.15,23.55,22.35,22.85,22.85,23.50,831,211117,4807078.00,
500058,BIHAR SPONGE,XT,Q,1.38,1.46,1.38,1.46,1.46,1.45,5,2005,2783.00,
500059,BINANI IND. ,B ,Q,90.40,90.95,87.20,88.15,88.05,90.40,58,4004,356498.00,
500060,BIRLACABLE  ,T ,Q,71.50,73.50,71.35,73.35,71.85,71.75,32,5393,391604.00,
500067,BLUE STAR   ,A ,Q,785.20,788.75,750.85,767.75,767.75,784.70,880,17126,13185492.00,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00,2,30,180000.00,
500069,BNK CAPITAL ,X ,Q,104.75,104.75,97.10,97.20,97.20,98.25,9,693,67516.00,
500074,BPL LTD.    ,B ,Q,75.80,75.80,70.55,72.35,72.25,74.10,365,37709,2725969.00,
500078,OAL         ,X ,Q,780.15,800.00,761.00,771.65,770.00,770.25,99,17775,13739957.00,
500083,CENTURY EXT ,B ,Q,5.75,5.99,5.75,5.79,5.80,5.80,23,10620,61609.00,
500084,CESC LTD.   ,A ,Q,1058.90,1070.30,1044.10,1048.95,1051.00,1058.90,820,13046,13757316.00,
500085,CHAMBAL FERT,A ,Q,172.10,178.80,170.40,171.20,171.20,171.75,807,66145,11506867.00,
500086,EXIDE IND.  ,A ,Q,262.00,263.50,257.65,258.65,258.65,261.60,639,60107,15631756.00,
500087,CIPLA LTD.  ,A ,Q,575.80,579.55,571.20,577.05,576.30,573.65,694,37447,21555669.00,
500089,DIC INDIA   ,B ,Q,444.00,444.00,429.10,431.90,429.10,438.00,23,384,167496.00,
500092,CRISIL LTD  ,A ,Q,1791.95,1796.05,1770.00,1776.05,1770.00,1782.45,48,460,818594.00,
500093,CGPOWER     ,A ,Q,79.00,80.20,77.65,79.25,79.20,78.50,364,59519,4709800.00,
500096,DABUR (I)   ,A ,Q,366.05,372.00,364.40,370.25,369.10,366.60,560,33705,12447403.00,
500097,DALMIASUG   ,B ,Q,59.00,59.00,55.00,56.85,56.80,59.75,163,13465,763554.00,
500101,ARVIND Ltd  ,A ,Q,439.00,439.00,425.05,427.25,426.75,428.95,901,42702,18315009.00,
500102,BALARPUR IND,B ,Q,12.59,12.59,11.90,11.92,11.92,12.35,198,130765,1576276.00,
500103,BHEL        ,A ,Q,80.75,81.30,77.50,77.75,77.75,80.75,5552,490911,38721915.00,
500104,HIND.PETRO  ,A ,Q,322.70,330.05,317.05,320.40,320.40,318.05,4011,431435,139055458.00,
500106,IFCI LTD    ,A ,Q,18.55,18.75,18.10,18.25,18.25,18.70,964,458245,8416172.00,
500108,MAHA.TELE   ,B ,Q,17.35,17.50,16.50,16.65,16.65,17.50,679,322924,5458068.00,
500109,MRPL        ,A ,Q,106.60,107.65,105.75,106.40,106.90,106.30,643,71608,7649111.00,
500110,CHENNAI PET.,A ,Q,295.85,300.80,288.00,293.00,293.00,295.90,635,35917,10584609.00,
500111,REL.CAP.    ,A ,Q,405.70,406.90,385.00,390.15,390.15,407.25,7769,619152,243656827.00,
500112,STATE BANK  ,A ,Q,250.00,255.60,248.55,253.35,253.35,250.90,6914,1425180,361501603.00,
500113,STEEL AUTH. ,A ,Q,73.60,74.35,71.75,72.75,72.75,73.45,1467,479620,34971253.00,
500114,TITAN       ,A ,Q,957.50,962.60,918.00,921.00,921.00,956.15,3518,159433,148910641.00,
500116,IDBI BANK L ,A ,Q,66.50,67.00,61.25,63.35,63.35,67.10,2958,1490599,97240435.00,
500117,DCW LTD.    ,B ,Q,30.90,31.40,30.00,30.20,30.20,30.90,353,94960,2874610.00,
500119,DHAMPUR SUGA,B ,Q,85.10,86.50,83.15,83.55,83.55,85.80,283,23506,1980922.00,
500120,DIAMINES&CHM,X ,Q,98.60,99.00,97.90,98.75,98.60,98.40,16,3025,298315.00,
500123,ELANTAS     ,B ,Q,2112.00,2150.05,2090.50,2121.00,2121.00,2109.90,71,557,1182269.00,
500124,DR.REDDY'S  ,A ,Q,2002.00,2043.00,2000.15,2015.50,2015.50,1990.85,1601,31837,64618030.00,
500125,E.I.D.PAR   ,A ,Q,255.00,263.00,248.00,252.55,252.00,255.05,487,26765,6849364.00,
500126,MERCK LTD   ,B ,Q,2140.00,2243.00,2140.00,2189.60,2189.60,2138.05,682,6050,13235697.00,
500128,ELEC.CASTING,B ,Q,27.95,27.95,26.85,27.10,26.85,27.20,404,160353,4346083.00,
500132,EMPEE SUGARS,XT,Q,2.62,2.62,2.62,2.62,2.62,2.75,1,100,262.00,
500133,ESAB INDIA  ,B ,Q,692.80,697.00,666.00,678.50,679.00,683.00,18,152,103146.00,
500135,ESSEL PROP  ,B ,Q,253.00,260.90,252.00,256.85,255.10,252.75,68,1647,422902.00,
500136,ESTER INDUS.,B ,Q,61.00,61.00,58.00,58.10,58.00,61.05,107,14682,863032.00,
500139,FEDDERELEC  ,B ,Q,66.95,67.00,63.00,64.50,64.50,66.15,87,9151,597561.00,
500141,FERRO ALLOYS,X ,Q,6.05,6.07,5.64,5.77,6.00,5.93,197,130805,751519.00,
500142,FGP LTD.    ,XT,Q,1.03,1.03,1.03,1.03,1.03,0.99,1,500,515.00,
500144,FINOL. CABLE,A ,Q,694.35,694.35,683.95,685.40,685.80,682.00,54,599,411745.00,
500147,CMI FPE     ,X ,Q,919.00,964.80,901.00,922.00,924.00,948.50,27,762,711640.00,
500148,UFLEX LTD   ,A ,Q,315.55,315.55,295.20,304.00,306.00,314.55,757,28683,8683818.00,
500150,FOSECO INDIA,B ,Q,1515.00,1515.00,1473.00,1500.00,1500.00,1520.90,15,61,91301.00,
500151,GOLDEN TOB  ,T ,Q,66.00,66.00,64.10,64.10,64.10,67.00,4,3091,203056.00,
500153,GANESH BENZO,X ,Q,88.90,89.90,86.50,87.85,87.85,86.90,746,69974,6162938.00,
500155,GARDEN SILK ,B ,Q,32.00,32.05,30.65,30.80,30.80,31.45,30,3332,104021.00,
500159,METROGLOBL  ,X ,Q,80.00,80.00,80.00,80.00,80.00,80.00,1,1,80.00,
500160,GTL LTD.    ,B ,Q,8.23,8.50,8.10,8.26,8.26,8.29,84,21220,176724.00,
500163,GODFREY PH  ,A ,Q,830.00,833.40,813.15,817.90,817.90,829.45,272,3454,2846590.00,
500164,GODREJ IND  ,A ,Q,595.65,601.00,587.45,589.75,588.70,591.05,366,11550,6874726.00,
500165,KANSAI NERO ,A ,Q,515.00,518.05,505.00,511.60,514.00,513.70,348,9639,4935941.00,
500166,GOODRICKE   ,X ,Q,323.50,333.00,313.30,316.45,316.45,324.65,133,6231,2013324.00,
500168,GOODYEAR (I),B ,Q,1228.00,1239.50,1201.60,1203.90,1203.90,1221.25,344,3721,4516520.00,
500170,GTN INDUS   ,B ,Q,12.35,13.16,11.92,12.45,12.65,12.54,26,2314,27719.00,
500171,GHCL LTD    ,A ,Q,275.55,282.00,275.10,280.45,281.75,275.65,320,19118,5322331.00,
500173,GUJ.FLOURO  ,B ,Q,861.90,867.00,835.00,854.80,850.65,855.55,146,1872,1610488.00,
500179,HCL INFOSYS ,A ,Q,48.15,48.55,46.65,47.00,47.10,48.40,1115,241593,11417549.00,
500180,HDFC BANK   ,A ,Q,2017.00,2026.70,2012.70,2021.20,2021.20,2010.65,3474,59944,121174272.00,
500182,HEROMOTOCO  ,A ,Q,3645.00,3657.50,3620.60,3649.35,3650.00,3616.15,1142,110222,402069578.00,
500183,HIMACHAL FUT,A ,Q,27.30,27.40,26.50,26.70,26.70,27.35,661,559599,14998189.00,
500184,HSCL        ,B ,Q,135.20,137.05,133.00,134.45,133.10,134.90,1160,118912,16022300.00,
500185,HIND.CONSTN.,A ,Q,16.10,16.50,15.10,15.50,15.50,16.55,1902,1639691,25709814.00,
500186,HIND.OIL EXP,B ,Q,134.30,134.30,128.50,130.45,130.45,131.85,1441,207107,27100711.00,
500187,HSIL        ,B ,Q,384.40,392.15,377.55,379.60,377.55,386.40,89,1927,739158.00,
500188,HINDUS.ZI   ,A ,Q,300.00,300.25,295.20,297.20,296.85,299.00,1186,59482,17721972.00,
500189,HINDUJA VENT,B ,Q,795.00,810.00,777.90,788.15,788.15,790.40,156,1515,1209049.00,
500191,HMT LTD.    ,Z ,Q,27.05,27.50,26.65,26.75,26.70,27.90,28,5578,150643.00,
500193,HOTEL LEELA.,B ,Q,17.80,17.80,17.20,17.30,17.30,17.65,118,53010,921209.00,
500199,I.G.PETRO   ,B ,Q,634.00,669.70,634.00,648.75,645.10,650.55,263,5336,3479109.00,
500201,IND.GLYCOLS ,B ,Q,555.00,570.75,548.55,565.10,560.65,553.85,1498,76826,42999653.00,
500206,MARGO FIN   ,XT,Q,16.15,16.15,15.90,15.90,15.90,15.40,4,511,8250.00,
500207,INDO RAMA   ,B ,Q,29.05,29.70,28.35,28.50,28.35,28.95,73,17605,512036.00,
500209,INFOSYS LTD ,A ,Q,1175.00,1194.70,1170.05,1189.60,1189.60,1181.00,2380,58761,69552956.00,
500210,INGERSOLL   ,B ,Q,901.00,901.00,840.00,888.80,888.80,854.25,6193,127023,111694716.00,
500211,INSILCO LTD.,X ,Q,27.45,27.60,26.70,26.90,26.90,26.55,42,9539,259465.00,
500212,INTEG.FIN.SE,XT,Q,34.00,34.00,34.00,34.00,34.00,34.00,1,100,3400.00,
500213,INTER.TRAVEL,X ,Q,194.50,194.80,190.60,190.75,190.70,195.20,39,1525,294889.00,
500214,ION EXCHANGE,XT,Q,487.00,499.00,471.00,473.70,471.00,479.25,136,3755,1792693.00,
500215,AGRO TECH FO,B ,Q,679.00,697.10,679.00,685.60,682.00,685.90,93,2120,1451312.00,
500219,JAIN IRRIG  ,A ,Q,107.25,107.40,103.70,105.00,105.00,106.20,2359,364806,38255027.00,
500220,JASCH INDUST,X ,Q,73.35,74.00,72.00,72.30,72.90,74.60,37,3340,241838.00,
500223,JCT LTD     ,X ,Q,2.81,2.81,2.65,2.68,2.70,2.86,170,264507,715711.00,
500227,JINDAL POLYF,B ,Q,277.80,277.80,267.50,268.30,268.30,274.25,196,6609,1782783.00,
500228,JSWSL       ,A ,Q,321.50,330.75,321.50,328.85,328.85,323.55,1693,197120,64338949.00,
500231,UMANG DAIR  ,B ,Q,89.85,96.00,86.15,90.75,90.75,86.25,708,44274,4105967.00,
500233,KAJARIA CER.,A ,Q,542.40,546.00,533.00,542.10,540.20,539.50,334,663888,359878219.00,
500234,KAKATIYA CEM,B ,Q,277.60,282.90,266.65,271.15,272.65,281.55,168,4443,1225940.00,
500235,KALYANI STEL,B ,Q,301.05,303.45,295.05,297.40,297.40,301.55,207,6707,2006001.00,
500238,WHIRLPOOL   ,A ,Q,1534.00,1559.00,1525.00,1545.35,1555.00,1538.85,298,2800,4328740.00,
500239,KG DENIM    ,X ,Q,47.00,48.85,46.50,47.55,48.00,47.45,35,4348,206743.00,
500240,KINETIC ENG.,XT,Q,70.25,70.25,68.50,69.05,69.05,70.75,16,2225,154390.00,
500241,KIRL.BROS.  ,B ,Q,275.10,313.60,275.10,289.20,288.00,265.25,1009,33120,9840658.00,
500245,KIRL.FERROUS,B ,Q,97.00,99.10,93.00,93.35,93.35,98.35,584,80086,7618005.00,
500247,KOTAK MAH.BK,A ,Q,1262.30,1287.00,1259.35,1268.95,1268.95,1265.45,1342,51929,66161687.00,
500249,KSB PUMPS   ,B ,Q,830.00,839.00,818.00,837.10,835.00,833.45,117,1992,1657468.00,
500250,L.G.BALKRISH,B ,Q,1279.00,1279.00,1196.45,1221.10,1216.00,1232.75,190,2187,2663664.00,
500251,TRENT LTD.  ,A ,Q,333.65,338.50,330.10,335.85,335.50,333.90,115,3584,1204740.00,
500252,LAKSHMI MACH,A ,Q,8932.20,9025.00,8752.00,8789.90,8752.00,8988.75,350,1124,9949469.00,
500253,LIC HOUS.FIN,A ,Q,498.00,507.00,498.00,500.50,500.50,500.65,1000,331572,165853578.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,23,125806,23903.00,
500255,LML LTD.    ,B ,Q,3.68,3.70,3.67,3.67,3.67,3.86,181,308231,1131489.00,
500257,LUPIN LTD.  ,A ,Q,745.00,776.85,745.00,754.35,754.35,751.80,2065,85719,65365425.00,
500259,LYKA LABS   ,B ,Q,41.00,41.25,38.55,39.35,38.65,40.95,116,10749,426332.00,
500260,RAMCOCEM    ,A ,Q,839.00,839.00,820.65,829.15,839.00,836.25,321,3922,3254153.00,
500264,MAFATLAL IND,X ,Q,275.95,276.70,266.10,275.00,275.00,270.55,14,2810,775819.00,
500265,MAH.SEAMLESS,B ,Q,443.35,445.00,442.00,445.00,444.95,443.95,8,233,103204.00,
500266,MAH.SCOOTER ,B ,Q,2399.00,2410.00,2377.15,2399.00,2399.00,2397.70,32,240,576135.00,
500267,MAJESTIC AUT,X ,Q,150.00,150.50,149.25,150.50,150.50,149.45,14,1539,230548.00,
500268,MANALI PETRO,B ,Q,34.90,34.90,33.25,33.50,33.25,34.05,277,91443,3087883.00,
500271,MFSL        ,A ,Q,511.85,514.95,493.00,498.60,498.60,514.50,984,18142,9075769.00,
500279,MIRC ELECT  ,B ,Q,44.10,44.10,40.55,41.25,41.25,43.40,609,130947,5454603.00,
500280,CENTURY ENKA,B ,Q,327.60,328.85,318.55,319.45,319.45,327.40,148,8133,2615292.00,
500284,LORDS CHLORO,XT,Q,54.35,54.60,54.35,54.60,54.60,55.60,4,422,22971.00,
500285,SPICEJET LTD,B ,Q,118.80,122.00,118.30,118.95,118.95,118.80,12393,1342334,161295639.00,
500288,MOREPEN LAB.,B ,Q,33.75,35.45,33.50,33.65,33.65,33.30,708,272016,9331564.00,
500290,MRF LTD.    ,A ,Q,74785.00,75158.85,74500.00,74656.55,75049.00,74639.05,164,293,21904548.00,
500292,HEIDEL CEM  ,A ,Q,153.80,153.80,147.35,148.25,147.85,150.10,101,5625,837990.00,
500294,NCC         ,A ,Q,122.10,122.90,118.00,118.95,118.55,122.05,1243,240424,28789593.00,
500295,VEDL        ,A ,Q,287.20,288.00,280.90,282.35,282.35,286.85,2807,392113,111270038.00,
500296,NAHAR SPG.  ,B ,Q,87.00,94.10,87.00,90.15,90.15,92.60,117,11152,1015116.00,
500298,NAT.PEROXIDE,B ,Q,2790.00,2833.85,2652.10,2729.05,2750.00,2776.20,299,4515,12237423.00,
500300,GRASIM IND. ,A ,Q,1103.85,1106.55,1090.10,1100.10,1093.00,1099.80,690,43955,48361402.00,
500302,PEL         ,A ,Q,2446.00,2462.75,2423.60,2437.30,2437.30,2438.50,617,6416,15660540.00,
500304,NIIT LTD.   ,A ,Q,108.60,108.80,100.90,102.35,101.70,108.50,1087,118396,12414148.00,
500306,JAYKAY      ,X ,Q,6.26,6.73,6.26,6.50,6.50,6.54,19,2733,17589.00,
500307,NIRLON      ,B ,Q,208.90,213.00,202.60,208.95,208.00,202.80,97,9148,1889428.00,
500312,ONGC CORPN  ,A ,Q,187.30,188.50,184.90,187.45,187.45,187.30,1497,150681,28141798.00,
500313,OIL COUNTRY ,B ,Q,24.25,24.90,23.65,24.25,24.25,24.70,92,9876,238555.00,
500314,ORIENT HOTEL,B ,Q,49.55,49.80,48.65,49.10,49.40,50.25,65,8049,396442.00,
500315,ORINTAL BANK,A ,Q,81.00,85.75,81.00,84.60,84.50,82.60,1626,328590,27671883.00,
500317,OSWAL AGRO. ,B ,Q,12.20,12.20,11.22,11.26,11.30,11.81,77,14362,162801.00,
500319,INDIAN SUCRO,XT,Q,17.40,17.70,17.40,17.40,17.40,18.30,15,4712,82138.00,
500322,PANYAM CEMEN,X ,Q,39.15,39.50,38.70,38.75,38.75,39.30,40,6450,251602.00,
500325,RELIANCE    ,A ,Q,993.90,993.90,976.40,984.85,984.85,988.50,5265,167118,164392102.00,
500327,PILITA      ,B ,Q,13.50,13.53,13.20,13.26,13.21,13.32,48,24256,324355.00,
500329,PENTAMED.G  ,X ,Q,0.48,0.57,0.40,0.52,0.54,0.48,61,374651,188921.00,
500330,RAYMOND     ,A ,Q,1099.10,1099.10,1066.70,1073.40,1073.15,1099.10,375,12207,13184536.00,
500331,PIDILITE    ,A ,Q,1104.30,1117.00,1091.35,1100.70,1100.70,1103.90,1985,37528,41531416.00,
500333,PIX TRANS   ,X ,Q,132.70,135.90,130.90,132.05,132.00,134.95,71,7774,1030338.00,
500335,BIRLA CORPN.,B ,Q,728.40,736.70,697.20,705.65,698.05,728.40,272,4054,2894109.00,
500336,SURYA ROSHNI,B ,Q,406.00,414.35,401.00,402.90,402.90,404.70,539,41578,16988145.00,
500337,PRIME SECUR.,B ,Q,44.35,44.35,42.10,42.65,43.00,43.70,100,10936,471646.00,
500338,PRSMJOHNSN  ,B ,Q,111.50,111.50,107.00,109.10,109.50,110.65,256,16297,1784117.00,
500339,RAIN        ,A ,Q,270.80,277.40,246.50,250.25,250.25,274.65,29395,2445206,632806044.00,
500343,AMJLAND     ,B ,Q,34.50,35.20,29.30,29.90,29.90,33.45,574,87324,2852943.00,
500346,PUN.COMMUNI.,B ,Q,35.35,35.40,35.35,35.40,35.40,37.00,2,200,7075.00,
500350,RSWM  LTD   ,B ,Q,280.10,286.95,273.90,283.60,286.50,282.45,189,4615,1282621.00,
500354,RAJSH.SUGAR ,B ,Q,29.00,30.00,26.50,27.35,27.00,29.00,75,6624,181637.00,
500355,RALLIS INDIA,A ,Q,218.00,220.40,213.05,213.90,214.00,217.60,351,21991,4731770.00,
500356,RAMANEWS    ,B ,Q,26.80,26.80,26.55,26.70,26.55,27.05,16,3364,89636.00,
500360,RAPICUT CARB,X ,Q,71.45,71.45,67.25,67.25,67.25,67.15,37,1428,96682.00,
500365,RMGALLOY    ,X ,Q,19.15,19.15,19.15,19.15,19.15,18.25,51,111169,2128886.00,
500366,ROLTA (I)   ,B ,Q,55.75,55.75,53.55,54.10,54.10,55.75,854,146204,7955019.00,
500367,RUBFILA INT.,X ,Q,76.85,76.85,74.60,74.75,74.60,75.65,115,17257,1293319.00,
500368,RUCHI SOYA  ,B ,Q,12.65,12.65,10.85,11.15,11.15,12.55,1307,773638,8792131.00,
500370,SALORA INT. ,B ,Q,39.00,40.95,37.10,40.95,40.95,38.30,3,607,23678.00,
500371,SAMTEL IND. ,XT,Q,1.56,1.56,1.56,1.56,1.56,1.64,1,111,173.00,
500378,JINDAL SAW  ,A ,Q,102.50,103.00,93.70,94.35,94.35,102.10,2315,377669,36329174.00,
500380,JK LAKSHMI  ,A ,Q,392.00,400.00,382.00,387.30,383.25,390.75,174,1953,761535.00,
500387,SHREE CEMENT,A ,Q,16400.00,16400.00,16009.65,16134.85,16134.85,16255.85,123,229,3694060.00,
500388,SHREE KRISHN,XT,Q,26.50,26.50,26.50,26.50,26.50,25.25,2,703,18629.00,
500390,REL INFRA   ,A ,Q,418.00,418.00,390.65,396.40,396.40,414.90,5649,472891,188543624.00,
500399,STEELCO GUJ.,X ,Q,5.75,6.09,5.75,5.83,5.78,6.02,10,89,528.00,
500400,TATA POWER  ,A ,Q,81.45,81.80,80.40,81.45,81.45,81.45,859,178245,14471912.00,
500402,SPMLINFRA   ,B ,Q,117.50,123.80,117.50,120.25,118.20,117.85,581,54449,6577429.00,
500403,SUNDARAM FAS,A ,Q,578.50,599.00,578.50,596.45,595.00,581.30,440,14873,8790723.00,
500404,SUNFLAG IRON,B ,Q,80.50,80.50,77.10,77.85,77.15,79.95,353,51734,4077755.00,
500405,SUPREME PET ,B ,Q,317.40,321.40,310.00,310.00,310.00,316.00,215,7641,2375048.00,
500407,SWARAJ ENGIN,B ,Q,2050.20,2050.20,2020.00,2020.45,2020.00,2050.10,62,415,844141.00,
500408,TATA ELXSI  ,A ,Q,1187.30,1187.30,1148.50,1157.35,1153.90,1184.35,1174,32278,37407399.00,
500410,ACC LTD     ,A ,Q,1472.90,1477.45,1440.05,1448.10,1448.10,1471.00,822,10960,15936627.00,
500411,THERMAX     ,A ,Q,1174.20,1196.95,1168.00,1175.30,1183.50,1168.70,187,924,1086787.00,
500412,THIRUMALAI  ,B ,Q,1851.70,1853.65,1770.60,1779.65,1779.65,1860.85,887,13422,24148602.00,
500413,THOMAS COOK ,B ,Q,280.30,281.25,273.75,276.40,275.75,281.50,347,36053,10009573.00,
500414,TIMEX GROUP ,X ,Q,51.90,51.90,47.50,47.55,47.50,50.00,104,34736,1658802.00,
500418,TOKYO PLAST ,B ,Q,77.00,78.00,76.00,77.00,77.00,78.70,66,2441,188036.00,
500420,TORRENT PHAR,A ,Q,1332.20,1382.60,1326.00,1362.20,1362.20,1360.80,599,6376,8693750.00,
500422,TRANSCHEM   ,X ,Q,37.40,37.40,32.10,34.35,34.35,33.35,18,4115,140375.00,
500425,AMBUJA CEME ,A ,Q,216.40,219.50,215.25,217.65,217.65,217.35,762,95073,20673435.00,
500426,UTLINDS     ,XT,Q,9.65,10.15,9.40,10.11,10.15,9.80,48,1703,16401.00,
500429,UNIPHOS ENT.,B ,Q,85.80,86.30,80.55,82.80,82.80,82.55,5,400,33639.00,
500439,VARD HOLDNG ,B ,Q,3804.00,3808.00,3804.00,3808.00,3808.00,3787.05,5,8,30444.00,
500440,HINDALCO    ,A ,Q,245.00,245.00,238.00,241.75,241.75,242.40,2292,376858,91513154.00,
500444,WEST COAS PA,B ,Q,270.00,281.75,268.25,270.90,269.10,280.60,424,20658,5715150.00,
500449,HIND.ORG.CHM,B ,Q,23.70,24.45,23.30,23.40,23.50,23.20,284,72085,1709674.00,
500456,PAS.ACRYLON ,X ,Q,24.50,25.50,24.50,24.75,24.95,24.95,177,42705,1058918.00,
500459,PROCTER &GAM,A ,Q,9195.00,9195.00,8811.00,8919.75,8965.95,9199.85,385,1379,12347193.00,
500460,MUKAND LTD. ,B ,Q,68.45,75.00,66.00,69.50,69.50,67.35,543,98100,6847522.00,
500463,AGCNET      ,B ,Q,113.60,117.10,111.00,111.00,111.00,119.00,12,590,67843.00,
500464,UCAL FUEL   ,B ,Q,249.10,250.45,247.20,247.40,247.40,249.45,62,1714,426229.00,
500467,HARR.MALAYAL,B ,Q,106.10,106.10,100.05,101.30,101.20,105.65,186,11819,1202560.00,
500469,FEDERAL BANK,A ,Q,89.15,90.70,89.00,89.70,89.70,90.05,3934,1190908,106971659.00,
500470,TATA STEEL  ,A ,Q,606.55,614.35,602.10,610.10,610.10,606.65,4490,322585,196837544.00,
500472,SKF INDIA   ,A ,Q,1802.75,1802.75,1770.00,1785.20,1785.00,1797.45,25,90,159708.00,
500477,ASHOK LEYL. ,A ,Q,162.10,162.15,153.50,155.05,155.05,161.85,6886,1092437,170995127.00,
500480,CUMMINS (I) ,A ,Q,777.00,778.80,760.00,763.70,760.10,775.05,323,6996,5376375.00,
500483,TATA COMM   ,A ,Q,630.00,640.80,629.05,634.80,633.05,636.25,315,13488,8577023.00,
500488,ABBOTT (I)  ,B ,Q,6426.35,6580.60,6352.00,6557.15,6560.00,6330.85,515,1755,11435953.00,
500490,BAJ HOLD INV,A ,Q,2660.50,2660.50,2616.90,2621.45,2617.05,2642.00,143,548,1438860.00,
500493,BHARAT FORGE,A ,Q,729.95,738.00,720.60,732.80,732.80,725.10,555,19391,14182737.00,
500495,ESCORTS LTD.,A ,Q,949.00,971.00,938.45,941.60,941.60,945.55,2865,135800,129691368.00,
500500,HIND.MOTORS ,B ,Q,7.37,7.37,6.81,7.15,7.16,7.02,125,75557,540034.00,
500510,LARSEN & TOU,A ,Q,1386.70,1398.70,1377.35,1380.35,1380.35,1387.05,3636,58273,80746080.00,
500520,MAH & MAH   ,A ,Q,875.00,875.00,846.15,850.10,850.10,869.00,1902,319571,272022479.00,
500530,BOSCH LTD   ,A ,Q,18699.00,18699.00,18101.00,18198.60,18125.00,18601.55,259,678,12423906.00,
500540,PREMIER LTD ,B ,Q,18.85,19.00,18.30,18.30,18.30,18.50,33,1832,34288.00,
500547,BHARAT PET. ,A ,Q,403.00,410.05,399.50,402.95,402.95,399.35,2552,254751,103043091.00,
500550,SIEMENS LTD.,A ,Q,1037.35,1047.10,1018.10,1019.60,1019.60,1035.85,474,8749,8987859.00,
500570,TATA MOTORS ,A ,Q,332.50,333.90,323.15,324.15,324.15,330.75,6720,684086,223119562.00,
500575,VOLTAS LTD  ,A ,Q,615.90,615.90,592.60,595.75,595.75,615.95,1713,68471,41331989.00,
500620,GREAT EASTE ,A ,Q,358.00,364.65,352.10,362.10,361.75,361.60,150,2706,978241.00,
500645,DEEPAK FERT.,A ,Q,334.05,339.70,324.60,325.60,325.60,332.65,277,8470,2788760.00,
